"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1655",253805,"Sugarloaf","Papua New Guinea","Volcanic field",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-5.78,143.75,3900,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.75,-5.78,TRUE
"1656",253806,"Hagen","Papua New Guinea","Stratovolcano(es)",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-5.77,144.03,3765,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.03,-5.77,TRUE
"1657",253807,"Giluwe","Papua New Guinea","Shield",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.05,143.88,4368,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.88,-6.05,TRUE
"1658",253808,"Ialibu","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.23,144.03,3465,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.03,-6.23,TRUE
"1659",253809,"Murray","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.75,144.02,2254,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.02,-6.75,TRUE
"1660",253810,"Suaru","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.25,144.83,2667,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.83,-6.25,TRUE
"1661",253811,"Karimui","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.57,144.77,2561,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.77,-6.57,TRUE
"1662",253812,"Duau","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.92,144.58,1850,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.58,-6.92,TRUE
"1663",253813,"Favenc","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.97,144.68,1583,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.68,-6.97,TRUE
"1664",253814,"Aird Hills","Papua New Guinea","Lava dome(s)",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-7.45,144.35,328,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.35,-7.45,TRUE
"1689",259800,"Maer Volcanic Province","Australia","Pyroclastic cone(s)",NA,NA,"Melanesia and Australia","Australia",-9.717,143.833,171,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.833,-9.717,TRUE
"1784",268800,"Hamiding","Indonesia","Unknown",NA,NA,"Indonesia","Halmahera",1.62,127.82,1204,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,127.82,1.62,TRUE
