"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"472",271040,"Makaturing","Philippines","Stratovolcano","Eruption Observed","1882 CE","Philippines and SE Asia","Mindanao",7.644,124.317,1818,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.317,7.644,TRUE
"473",271050,"Latukan","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Mindanao",7.65,124.45,2338,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.45,7.65,TRUE
"474",271060,"Ragang","Philippines","Stratovolcano","Eruption Observed","1873 CE","Philippines and SE Asia","Mindanao",7.7,124.5,2815,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.5,7.7,TRUE
"475",271061,"Kalatungan","Philippines","Stratovolcano","Evidence Uncertain","Unknown","Philippines and SE Asia","Mindanao",7.95,124.8,2824,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.8,7.95,TRUE
"476",271070,"Musuan","Philippines","Lava dome","Eruption Observed","1886 CE","Philippines and SE Asia","Mindanao",7.877,125.068,646,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,125.068,7.877,TRUE
"477",271071,"Malindang","Philippines","Stratovolcano","Evidence Credible","Unknown","Philippines and SE Asia","Mindanao",8.22,123.63,2404,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.63,8.22,TRUE
"478",271080,"Camiguin","Philippines","Stratovolcano(es)","Eruption Observed","1953 CE","Philippines and SE Asia","Mindanao",9.203,124.673,1552,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,124.673,9.203,TRUE
"479",272010,"Cuernos de Negros","Philippines","Complex","Unrest / Holocene","Unknown","Philippines and SE Asia","Central Philippines",9.25,123.17,1862,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.17,9.25,TRUE
"480",272020,"Kanlaon","Philippines","Stratovolcano","Eruption Observed","2017 CE","Philippines and SE Asia","Central Philippines",10.412,123.132,2435,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.132,10.412,TRUE
"481",272030,"Mandalagan","Philippines","Complex","Unrest / Holocene","Unknown","Philippines and SE Asia","Central Philippines",10.65,123.25,1885,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.25,10.65,TRUE
"482",272040,"Silay","Philippines","Stratovolcano","Unrest / Holocene","Unknown","Philippines and SE Asia","Central Philippines",10.77,123.23,1510,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",NA,NA,NA,123.23,10.77,TRUE
"483",272050,"Cabalían","Philippines","Stratovolcano","Eruption Dated","1820 CE","Philippines and SE Asia","Central Philippines",10.285,125.218,912,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",68.3956146240234,-175.533920288086,160.356063842773,125.218,10.285,TRUE
"484",272070,"Mahagnao","Philippines","Stratovolcano","Unrest / Holocene","Unknown","Philippines and SE Asia","Central Philippines",10.882,124.888,860,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",67.9285888671875,-186.540115356445,147.975769042969,124.888,10.882,TRUE
