"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1872",282818,"Kurose","Japan","Volcanic remnant",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.695,130.233,8,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",41.1521987915039,-335.894683837891,250.024108886719,130.233,33.695,TRUE
"1873",282819,"Iki Volcanic Group","Japan","Pyroclastic cone(s)",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.738,129.712,213,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",29.1555957794189,-347.947448730469,252.583862304688,129.712,33.738,TRUE
"1874",282820,"Tokara Hirase","Japan","Unknown",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",30.036,130.058,27,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",46.1804618835449,-68.5467224121094,209.914428710938,130.058,30.036,TRUE
"1875",283800,"Mutsure-jima","Japan","Pyroclastic cone(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",33.974,130.866,104,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",59.2340965270996,-324.304748535156,215.396545410156,130.866,33.974,TRUE
"1876",283801,"Shikuma","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.098,131.761,504,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",65.4827346801758,-140.462188720703,199.350875854492,131.761,34.098,TRUE
"1877",283802,"Tokuyama-Mitake","Japan","Lava dome",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.189,131.844,790,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",63.7039909362793,-132.812194824219,205.42741394043,131.844,34.189,TRUE
"1878",283803,"Sengoku","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.186,131.76,661,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",66.2854766845703,-147.938201904297,203.012268066406,131.76,34.186,TRUE
"1879",283804,"Chojagahara","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.271,131.669,390,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",69.2310104370117,-177.869232177734,204.629531860352,131.669,34.271,TRUE
"1880",283805,"Aonoyama","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.459,131.798,908,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",69.6276550292969,-182.061111450195,220.129653930664,131.798,34.459,TRUE
"1881",283806,"Oetaka-yama","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.061,132.431,808,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",69.2007827758789,-185.36833190918,215.925765991211,132.431,35.061,TRUE
"1882",283807,"Yokote","Japan","Pyroclastic cone(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.201,133.267,967,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.2813568115234,-122.972633361816,250.185394287109,133.267,35.201,TRUE
"1883",283808,"Noro","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.41,133.182,180,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",44.5257987976074,-144.948440551758,241.264022827148,133.182,35.41,TRUE
"1884",283809,"Daikon-jima","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.493,133.174,42,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",46.6819839477539,-153.893936157227,238.597061157227,133.174,35.493,TRUE
"1885",283810,"Tsuruta","Japan","Pyroclastic cone(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.338,133.422,301,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.154972076416,-131.382186889648,258.487365722656,133.422,35.338,TRUE
"1886",283811,"Daisen","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.368,133.549,1729,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",37.7545356750488,-132.74885559082,262.713836669922,133.549,35.368,TRUE
"1887",283812,"Ogino-Sen","Japan","Pyroclastic cone(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.437,134.444,1310,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",38.1256446838379,-126.671096801758,254.572799682617,134.444,35.437,TRUE
"1888",283813,"Takara","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.343,134.922,350,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",37.5230026245117,-110.973922729492,254.657669067383,134.922,35.343,TRUE
"1889",283814,"Nanzaki","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.604,138.832,106,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.832,34.604,TRUE
"1890",283815,"Jaishi","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.71,138.786,520,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.786,34.71,TRUE
"1891",283816,"Tanaba","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.907,138.852,1035,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.852,34.907,TRUE
"1892",283817,"Daruma","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.952,138.843,982,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.843,34.952,TRUE
"1893",283818,"Tenshi","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.924,138.968,608,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.968,34.924,TRUE
"1894",283819,"Usami","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",34.968,139.063,592,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.063,34.968,TRUE
"1895",283820,"Taga","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.078,139.031,798,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",8.61369132995605,-5.97923707962036,282.241577148438,139.031,35.078,TRUE
"1896",283821,"Yugawara","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.173,139.029,1004,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",11.0461959838867,-7.54671573638916,279.298706054688,139.029,35.173,TRUE
"1897",283822,"Ashitaka","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.238,138.794,1504,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",14.0701847076416,-9.08236980438232,263.599029541016,138.794,35.238,TRUE
"1898",283823,"Kurofuji","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.8,138.513,1764,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",40.9508056640625,-46.8758163452148,250.824584960938,138.513,35.8,TRUE
"1899",283824,"Yatsugatake","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.968,138.373,2899,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",43.7649803161621,-67.3774108886719,246.196594238281,138.373,35.968,TRUE
"1900",283825,"Kirigamine","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.1,138.2,1925,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",43.5463066101074,-86.4977951049805,242.612670898438,138.2,36.1,TRUE
"1901",283826,"Utsukushigahara","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.223,138.111,2034,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",41.6522254943848,-100.303855895996,241.583953857422,138.111,36.223,TRUE
"1902",283827,"Ueno","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Honshu",35.59,137.505,606,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",35.0001106262207,-57.5412559509277,262.806488037109,137.505,35.59,TRUE
