"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"2592",360806,"Northern Centres","Netherlands","Stratovolcano(es)",NA,NA,"West Indies","West Indies",17.508,-62.992,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",38.3513221740723,-82.0108947753906,121.607688903809,-62.992,17.508,TRUE
"2593",360807,"Silver Hills","United Kingdom","Lava dome(s)",NA,NA,"West Indies","West Indies",16.81,-62.194,403,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",37.5387992858887,-83.4050216674805,139.314208984375,-62.194,16.81,TRUE
"2594",360808,"Centre Hills","United Kingdom","Lava dome(s)",NA,NA,"West Indies","West Indies",16.759,-62.196,741,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",38.4905776977539,-86.2326202392578,139.522491455078,-62.196,16.759,TRUE
"2595",360809,"Septentrional Chain","France","Lava dome(s)",NA,NA,"West Indies","West Indies",16.23,-61.72,744,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",38.3098297119141,-82.7559585571289,143.924880981445,-61.72,16.23,TRUE
"2596",360810,"Axial Chain","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",16.12,-61.7,1354,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",39.7035980224609,-87.7474822998047,144.220260620117,-61.7,16.12,TRUE
"2597",360811,"Bouillante Chain","France","Maar(s)",NA,NA,"West Indies","West Indies",16.12,-61.75,420,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",40.6232414245605,-91.405029296875,144.181900024414,-61.75,16.12,TRUE
"2598",360812,"Caraïbes, Monts","France","Stratovolcano",NA,NA,"West Indies","West Indies",15.97,-61.68,687,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",41.2077484130859,-94.7985458374023,144.81022644043,-61.68,15.97,TRUE
"2599",360813,"Terre de Bas","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",15.87,-61.63,274,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",41.4319229125977,-96.5296249389648,145.562774658203,-61.63,15.87,TRUE
"2600",360814,"Foundland","Dominica","Stratovolcano",NA,NA,"West Indies","West Indies",15.27,-61.28,960,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",40.5542335510254,-94.6747665405273,162.171417236328,-61.28,15.27,TRUE
"2601",360815,"Carbets, Pitons de","France","Stratovolcano",NA,NA,"West Indies","West Indies",14.7,-61.12,1196,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",37.7306594848633,-87.7674179077148,179.968414306641,-61.12,14.7,TRUE
"2602",360816,"Unnamed","France","Volcanic field",NA,NA,"West Indies","West Indies",14.65,-61.08,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",36.7741622924805,-85.0003814697266,181.003021240234,-61.08,14.65,TRUE
"2603",360817,"Garu, Morne","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.292,-61.2,1074,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.967845916748,-81.057258605957,188.331817626953,-61.2,13.292,TRUE
"2604",360818,"Grand Bonhomme","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.22,-61.208,1021,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.6790657043457,-80.1115417480469,189.875183105469,-61.208,13.22,TRUE
